earnings_date,timing,d_m1,d0,d_p1,close_dm1,close_d0,close_dp1,move_bmo_like_pct,move_amc_like_pct,move_used_pct,used_window,note
2023-04-27,UNKNOWN,2023-04-26,2023-04-27,2023-04-28,29.05,29.86,31.06,0.027883,0.040188,0.040188,AMC_like,
2023-07-27,UNKNOWN,2023-07-26,2023-07-27,2023-07-28,34.36,34.55,36.83,0.00553,0.065991,0.065991,AMC_like,
2023-10-26,UNKNOWN,2023-10-25,2023-10-26,2023-10-27,32.83,32.52,35.54,0.009443,0.092866,0.092866,AMC_like,
2024-01-25,UNKNOWN,2024-01-24,2024-01-25,2024-01-26,49.09,49.55,43.65,0.009371,0.119072,0.119072,AMC_like,
2024-04-25,UNKNOWN,2024-04-24,2024-04-25,2024-04-26,34.5,35.11,31.88,0.017681,0.091997,0.091997,AMC_like,
2024-08-01,UNKNOWN,2024-07-31,2024-08-01,2024-08-02,30.74,29.05,21.48,0.054977,0.260585,0.260585,AMC_like,
2024-10-31,UNKNOWN,2024-10-30,2024-10-31,2024-11-01,22.3,21.52,23.2,0.034978,0.078067,0.078067,AMC_like,
2025-01-30,UNKNOWN,2025-01-29,2025-01-30,2025-01-31,19.75,20.01,19.43,0.013165,0.028986,0.028986,AMC_like,
2025-04-24,UNKNOWN,2025-04-23,2025-04-24,2025-04-25,20.59,21.49,20.05,0.043711,0.067008,0.067008,AMC_like,
2025-07-24,UNKNOWN,2025-07-23,2025-07-24,2025-07-25,23.49,22.63,20.7,0.036611,0.085285,0.085285,AMC_like,
2025-10-23,UNKNOWN,2025-10-22,2025-10-23,2025-10-24,36.92,38.16,38.28,0.033586,0.003145,0.033586,BMO_like,
